Timing Resolution (pulses per quarter note)
4

Instrument,0,Acoustic Grand Piano

1,0,Note_on_c,0,60,78
1,125,Note_on_c,0,60,78
1,250,Note_on_c,0,60,0
1,375,Note_on_c,4,64,78
1,500,Note_on_c,4,64,78
1,625,Note_on_c,4,64,0
1,750,Note_on_c,8,67,78
1,875,Note_on_c,8,67,78
1,1000,Note_on_c,8,67,0
1,1125,Note_on_c,12,72,78
1,1250,Note_on_c,12,72,78
1,1375,Note_on_c,12,72,0
1,1500,Note_on_c,16,67,78
1,1625,Note_on_c,16,67,78
1,1750,Note_on_c,16,67,0
1,1875,Note_on_c,20,64,78
1,2000,Note_on_c,20,64,78
1,2125,Note_on_c,20,64,0
1,2250,Note_on_c,24,60,78
1,2500,Note_on_c,24,60,78
1,2750,Note_on_c,24,60,0
